Date : 2025-01-26 21:42:04
Directory : /Users/david/Desktop/Orbit
Total : 88 files,  17960 codes, 275 comments, 499 blanks, all 18734 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     14,221 |          0 |          4 |     14,225 |
| TypeScript JSX     |         38 |      2,571 |         68 |        291 |      2,930 |
| TypeScript         |         10 |        402 |         20 |         59 |        481 |
| Groovy             |          3 |        171 |         75 |         35 |        281 |
| XML                |         11 |        130 |         23 |          6 |        159 |
| kotlin             |          2 |         99 |          0 |         21 |        120 |
| JavaScript         |          4 |         97 |          1 |          6 |        104 |
| CSS                |          1 |         58 |          0 |          3 |         61 |
| Ruby               |          1 |         56 |          9 |         12 |         77 |
| Objective-C++      |          3 |         47 |         10 |         18 |         75 |
| JSON with Comments |          2 |         41 |          0 |          2 |         43 |
| Batch              |          1 |         41 |         32 |         22 |         95 |
| Properties         |          2 |         18 |         33 |         14 |         65 |
| Objective-C        |          1 |          7 |          0 |          4 |         11 |
| Markdown           |          1 |          1 |          0 |          1 |          2 |
| Swift              |          1 |          0 |          4 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         88 |     17,960 |        275 |        499 |     18,734 |
| . (Files)                                                                                          |         12 |     14,343 |          2 |         12 |     14,357 |
| android                                                                                            |         18 |        425 |        163 |         98 |        686 |
| android (Files)                                                                                    |          4 |        130 |         70 |         48 |        248 |
| android/app                                                                                        |         13 |        288 |         93 |         49 |        430 |
| android/app (Files)                                                                                |          1 |         93 |         70 |         22 |        185 |
| android/app/src                                                                                    |         12 |        195 |         23 |         27 |        245 |
| android/app/src/debug                                                                              |          1 |          5 |          0 |          3 |          8 |
| android/app/src/main                                                                               |         11 |        190 |         23 |         24 |        237 |
| android/app/src/main (Files)                                                                       |          1 |         36 |          0 |          0 |         36 |
| android/app/src/main/java                                                                          |          2 |         99 |          0 |         21 |        120 |
| android/app/src/main/java/com                                                                      |          2 |         99 |          0 |         21 |        120 |
| android/app/src/main/java/com/dovydmcnugget                                                        |          2 |         99 |          0 |         21 |        120 |
| android/app/src/main/java/com/dovydmcnugget/orbit                                                  |          2 |         99 |          0 |         21 |        120 |
| android/app/src/main/res                                                                           |          8 |         55 |         23 |          3 |         81 |
| android/app/src/main/res/drawable                                                                  |          2 |         18 |         23 |          3 |         44 |
| android/app/src/main/res/mipmap-anydpi-v26                                                         |          2 |         10 |          0 |          0 |         10 |
| android/app/src/main/res/values                                                                    |          3 |         26 |          0 |          0 |         26 |
| android/app/src/main/res/values-night                                                              |          1 |          1 |          0 |          0 |          1 |
| android/gradle                                                                                     |          1 |          7 |          0 |          1 |          8 |
| android/gradle/wrapper                                                                             |          1 |          7 |          0 |          1 |          8 |
| app                                                                                                |         22 |      1,912 |         56 |        196 |      2,164 |
| app (Files)                                                                                        |          2 |        305 |          7 |         29 |        341 |
| app/(app)                                                                                          |         14 |        950 |         22 |        104 |      1,076 |
| app/(app) (Files)                                                                                  |          2 |        207 |          7 |         23 |        237 |
| app/(app)/(chat)                                                                                   |          3 |        102 |          0 |         16 |        118 |
| app/(app)/(create)                                                                                 |          2 |         23 |          0 |          4 |         27 |
| app/(app)/(home)                                                                                   |          2 |         23 |          0 |          4 |         27 |
| app/(app)/(map)                                                                                    |          2 |        181 |          5 |         20 |        206 |
| app/(app)/(profile)                                                                                |          3 |        414 |         10 |         37 |        461 |
| app/(app)/(profile) (Files)                                                                        |          2 |        192 |          7 |         16 |        215 |
| app/(app)/(profile)/[id]                                                                           |          1 |        222 |          3 |         21 |        246 |
| app/(auth)                                                                                         |          6 |        657 |         27 |         63 |        747 |
| app/(auth) (Files)                                                                                 |          4 |        581 |         27 |         49 |        657 |
| app/(auth)/(onboarding)                                                                            |          2 |         76 |          0 |         14 |         90 |
| hooks                                                                                              |          2 |        277 |         13 |         41 |        331 |
| ios                                                                                                |         11 |        189 |         23 |         37 |        249 |
| ios (Files)                                                                                        |          2 |         61 |          9 |         13 |         83 |
| ios/Orbit                                                                                          |          9 |        128 |         14 |         24 |        166 |
| ios/Orbit (Files)                                                                                  |          6 |         88 |         14 |         23 |        125 |
| ios/Orbit/Images.xcassets                                                                          |          3 |         40 |          0 |          1 |         41 |
| ios/Orbit/Images.xcassets (Files)                                                                  |          1 |          6 |          0 |          1 |          7 |
| ios/Orbit/Images.xcassets/AppIcon.appiconset                                                       |          1 |         14 |          0 |          0 |         14 |
| ios/Orbit/Images.xcassets/SplashScreenBackground.colorset                                          |          1 |         20 |          0 |          0 |         20 |
| src                                                                                                |         23 |        814 |         18 |        115 |        947 |
| src/components                                                                                     |         11 |        535 |          7 |         69 |        611 |
| src/components (Files)                                                                             |          1 |         49 |          1 |          9 |         59 |
| src/components/map                                                                                 |          1 |        111 |          4 |         10 |        125 |
| src/components/shared                                                                              |          1 |         46 |          2 |          7 |         55 |
| src/components/topics                                                                              |          1 |         69 |          0 |         10 |         79 |
| src/components/ui                                                                                  |          7 |        260 |          0 |         33 |        293 |
| src/lib                                                                                            |         11 |        221 |         11 |         43 |        275 |
| src/lib (Files)                                                                                    |          8 |        200 |         11 |         39 |        250 |
| src/lib/icons                                                                                      |          3 |         21 |          0 |          4 |         25 |
| src/styles                                                                                         |          1 |         58 |          0 |          3 |         61 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

